episode,length,return
1,31,145.1695533210468
2,32,152.21616570534326
3,18,82.98425580738089
4,37,175.15295425151388
5,25,112.96857384265135
6,42,200.1438339467403
7,37,174.91956305646605
8,18,83.24576251207907
9,24,109.2611670017553
10,27,127.34494780848718
11,17,78.06773738536272
12,17,78.35646936851577
13,25,111.31148175579244
14,19,88.07998013929716
15,26,123.55035906747943
16,31,138.906064700785
17,27,131.90582399550644
18,17,78.11707116451367
19,26,120.24884881454423
20,29,124.22579022306428
21,21,96.98567153600422
22,39,179.23543616733025
23,22,104.01304760780876
24,28,125.25997508001004
25,38,174.6709304269526
26,27,130.14900097764402
27,17,78.20709822132329
28,25,117.88322704435282
29,31,150.67720615436033
30,29,139.2498074991892
31,45,210.49650988880842
32,24,113.74550661356758
33,43,202.22416705132417
34,50,255.8060081376448
35,30,142.8849768599366
36,18,83.44016628163239
37,28,136.2520360621892
38,61,275.756971827325
39,24,112.28156438371245
40,47,235.9961877495078
41,18,84.06172627799472
42,51,267.89166973916343
43,49,238.3962802222106
44,25,122.5119859822385
45,31,153.03982382313401
46,31,146.6198766046188
47,26,125.58268230216842
48,42,205.40373575029236
49,64,305.3553107824476
50,52,249.08953877457824
51,43,207.62751820518017
52,21,98.68499568910806
53,51,264.04785208975403
54,28,135.4734844050317
55,23,106.6677982459182
56,109,499.95019160859
57,50,249.94562629447577
58,39,181.10823619889157
59,41,200.55209710376644
60,106,479.82327960767947
61,50,233.95503930728174
62,50,250.6043476327628
63,66,307.1285859901629
64,45,191.6290504344862
65,61,275.9191749720907
66,82,393.37405318505745
67,61,289.9076189476595
68,53,275.90770967349044
69,65,284.4330797662379
70,78,393.53063822065184
71,49,241.5062841681379
72,58,266.37751914381374
73,78,376.1769022041823
74,86,393.00953548791665
75,84,391.4684182224641
76,111,510.78467685659393
77,93,425.102627811744
78,54,282.0179065526882
79,53,264.7762662490776
80,82,380.65845278820734
81,78,404.6907101166942
82,52,252.70323418333166
83,71,349.9034725796807
84,77,355.1579070935631
85,63,263.18196525297793
86,78,399.28790363869456
87,42,188.4570365436255
88,54,259.76826151783393
89,56,275.8525406051661
90,56,273.71482321979835
91,60,290.9524565909832
92,86,355.76827237851813
93,37,165.93707486021273
94,68,353.3874844088203
95,51,241.2316569869198
96,85,427.8082872520465
97,86,423.3290714876191
98,103,515.3977592160147
99,77,351.27430677912093
100,48,242.17425954525908
101,61,284.5958070265691
102,60,268.9862962755133
103,41,202.42072710389454
104,50,251.4522791724968
105,91,409.87040426204805
106,101,496.5626062324315
107,74,354.86442040151655
108,69,289.74260940454633
109,43,203.5722685580082
110,93,445.0074538253205
111,45,169.31231099303724
112,41,161.02452636321294
113,118,555.285997147415
114,52,184.85755229600144
115,46,171.21528260138382
116,46,199.98737776898983
117,36,151.14395922028433
118,44,191.30025576832338
119,81,372.91565696188053
120,47,195.5438942674924
121,83,359.4613536283431
122,74,315.3692965880198
123,91,392.6341572701205
124,111,512.3924985765683
125,54,209.9515506441339
126,57,218.9477083165774
127,47,199.47324619937993
128,70,280.24188367794596
129,45,198.4200339195503
130,76,327.49327155865376
131,76,338.30517907131156
132,43,197.23506290279892
133,73,316.6616572442105
134,44,211.49974605021288
135,95,397.11915593357975
136,87,347.8528445132578
137,64,264.5260309017531
138,105,527.1948624303449
139,43,177.47190584104817
140,94,491.11746448307383
141,48,192.4356297957691
142,57,235.8714850278827
143,49,200.4953232290445
144,71,299.751422945191
145,60,243.21104349899971
146,64,272.6026045902485
147,77,343.0613045407244
148,66,262.3067902706401
149,77,332.7765576808249
150,87,400.4293948620974
151,87,387.79576628421376
152,68,280.6899176312766
153,50,197.72772845033728
154,79,386.8029019181165
155,57,276.90036563025626
156,68,324.8842770389357
157,58,266.4578885193119
158,72,313.3957565201022
159,93,405.7387847716681
160,100,441.50494867879263
161,59,290.3615142487444
162,98,479.5374715437567
163,69,289.12493487300253
164,66,299.1362520950228
165,95,413.45341861498804
166,59,279.676023317995
167,102,487.8006975170098
168,80,422.49537417434476
169,68,360.2115367038007
170,100,440.41284642729437
171,63,273.43448709993845
172,46,210.71952127626946
173,82,352.10800271306675
174,93,449.18958414519915
175,115,530.6823868142607
176,69,338.3408591572985
177,73,310.9141606661635
178,73,335.7398235440538
179,78,369.5279276034699
180,77,408.62361788964296
181,80,395.14099886017294
182,64,317.8434938584006
183,76,364.1810031368695
184,71,325.81667872788086
185,88,385.8763631187813
186,58,263.9817833782613
187,73,310.40409543431105
188,75,316.9020250975557
189,71,293.97853725055455
190,73,324.31244003680337
191,84,362.60315655225406
192,56,268.1055938504108
193,48,227.04098959982403
194,37,160.73655003875643
195,63,296.8598913694602
196,64,319.7006972440132
197,47,216.2698990573039
198,36,161.31974783646706
199,37,167.90203060597295
200,68,312.0140737757046
201,36,156.6739013673163
202,85,418.7862714491965
203,73,336.1044451501497
204,61,262.32003549634817
205,76,370.620827041353
206,57,259.54132769789595
207,62,263.23975198033423
208,54,236.08994630649062
209,69,327.155505771203
210,75,343.9597031347208
211,72,307.4680713829194
212,70,329.5079623601075
213,79,334.06651335807237
214,75,379.0721258633257
215,116,524.5255037885664
216,90,438.06693283349307
217,89,394.2545910013417
218,47,217.62346378823807
219,63,282.63783000551575
220,80,346.76402374527845
221,61,270.96190715648754
222,59,272.3194733473389
223,79,339.18412626954114
224,59,245.93310019475976
225,86,412.0005122168114
226,65,286.2189344673872
227,101,507.5824530039795
228,86,433.9190145978881
229,146,700.0231063366059
230,53,239.90920913056206
231,86,426.4060978271382
232,113,558.3798536151343
233,77,353.5054810610974
234,80,390.78051899844496
235,88,376.637196918982
236,38,172.96680889072738
237,75,309.25649878345035
238,79,400.1557203947225
239,58,286.0494506956576
240,68,318.083549316848
241,48,224.6337877764461
242,69,324.49348525413916
243,95,455.5294160437734
244,34,151.43970025740924
245,47,234.16262881930118
246,49,219.64430194574382
247,34,156.00097272921022
248,32,139.9230701786752
249,61,319.68853098020406
250,74,364.6902111690033
251,41,197.67371281133578
252,17,73.58777855249063
253,66,310.889090730663
254,98,505.2701161740339
255,27,127.83579195716815
256,18,80.19526420133126
257,16,72.13963868101193
258,17,71.0915259701255
259,31,152.26771870192772
260,23,108.93697058989589
261,18,77.90718411911047
262,26,126.3383924082556
263,20,89.01171238772183
264,50,224.66197417419335
265,87,393.697418132958
266,89,414.8086797615675
267,71,361.0819202930355
268,72,357.608250830822
269,53,264.6285173878053
270,51,265.03431164249366
271,100,524.3855992442445
272,68,371.1359838651664
273,68,351.0342800832503
274,69,332.41301351848784
275,50,263.80930110779786
276,98,479.2355941151806
277,103,492.7733848308862
278,73,324.87513962283185
279,88,478.7213559943755
280,57,235.26380620411751
281,108,481.10081761580227
282,63,301.6398021516735
283,84,385.85906209912997
284,63,283.6650083405526
285,66,333.63909212935715
286,63,255.33965863584734
287,103,462.2158850970082
288,82,384.40837613473695
289,69,318.4017398828087
290,103,433.83999144389037
291,62,263.47997159075743
292,64,266.5172104272436
293,50,216.06483619290924
294,79,333.3188733937969
295,66,290.7510274595431
296,77,328.5448086966738
297,67,275.3387012740756
298,89,369.03373609245426
299,64,276.3603906051393
300,78,347.3213740454418
301,84,407.7947712546459
302,72,312.00288753596533
303,96,457.9568069961901
304,71,320.04504987061154
305,46,209.83122627477778
306,81,351.03213609842544
307,72,348.4492476148216
308,131,570.2661968044198
309,78,368.40719856731
310,86,412.74504144371076
311,82,367.98803573436277
312,93,427.96710490675315
313,80,370.118243154096
314,102,456.5435055023343
315,51,219.4433607160831
316,69,304.738720428581
317,79,330.01486059475866
318,95,384.8645222561854
319,87,377.09877525571204
320,61,257.86392427574384
321,65,276.1653741549344
322,72,303.6468127540362
323,97,427.838533995597
324,69,276.83343285651654
325,66,303.7379384183964
326,60,240.0670743670747
327,65,255.13833017068052
328,71,333.7963922759498
329,62,313.3149639780713
330,67,344.0345234025813
331,62,335.80116696492644
332,60,310.4820550779654
333,48,235.01579038730196
334,70,352.6393371720337
335,63,292.6933065238641
336,50,270.0066261712202
337,41,218.5226969824298
338,53,237.75184739451907
339,43,193.72251160100652
340,72,377.30854587479763
341,68,294.4668614443348
342,88,408.2410623972896
343,89,402.5239718080519
344,91,383.52344025224915
345,96,416.01055162612676
346,68,295.2231544758176
347,96,410.74077886499816
348,84,360.73143927359195
349,117,534.7217442144881
350,54,257.3974464622305
351,92,365.8607680447813
352,70,311.67878095657215
353,90,376.47229056632
354,85,418.99584214607347
355,61,280.15497157133916
356,90,404.7725077994257
357,126,569.5811392614725
358,88,368.859365271847
359,70,314.89173726205297
360,71,316.7448546719311
361,97,420.55892917131666
362,80,383.8132265195524
363,113,522.554807364258
364,69,319.5484503857925
365,70,305.8874047622641
366,72,299.53731911351906
367,73,308.0411309260494
368,75,346.39104944812584
369,62,296.21046247450795
370,64,307.14284746055205
371,85,378.61449472957844
372,90,424.40176131753606
373,81,339.7000521220494
374,84,401.53745901825613
375,75,349.4181828923734
376,80,384.1780668016421
377,78,378.1423997264098
378,80,416.5532610904441
379,75,387.67714651329953
380,78,339.3356360511292
381,95,491.276506563228
382,95,467.72825410816984
383,48,209.75601317562317
384,66,304.7370337872049
385,48,197.45053780437712
386,64,321.8553189339213
387,98,436.7797521233783
388,82,402.5260113757096
389,60,272.17682833448924
390,59,259.96952561757854
391,90,409.1969033005725
392,92,436.79384461168763
393,41,178.3144939889415
394,66,283.0163698058959
395,43,181.7135553292748
396,63,264.0948954386333
397,80,339.14348651008515
398,76,338.1412138844529
399,57,226.77040170299694
400,77,341.81621200018793
401,70,284.37098087107955
402,78,352.85911524300104
403,111,527.118110164456
404,76,307.0716353292956
405,86,369.42576218190965
406,99,443.86314020703804
407,68,311.35064219124746
408,77,354.6103623507483
409,94,408.04013559078794
410,58,257.9153828645549
411,86,373.1061604780463
412,50,228.87363112285752
413,170,760.1216623277317
414,73,355.2760960554923
415,101,447.1847042338795
416,44,202.5996581302645
417,76,371.28083135728735
418,78,384.6029003621083
419,81,345.4482995475076
420,83,370.3877790173538
421,96,432.9570647946718
422,88,391.3448818538212
423,88,420.28406351334917
424,122,577.8236189961899
425,56,235.72166309890508
426,96,427.65515450251246
427,77,361.07826158962445
428,59,281.19948109380687
429,35,163.81685275423646
430,120,552.4782394821591
431,62,288.7516627601808
432,74,352.1357326888921
433,59,291.5197101212312
434,77,365.1912522120675
435,47,220.12989828266947
436,87,439.6381995052743
437,48,237.69092134154843
438,76,373.3701836783443
439,36,166.98100616517092
440,118,631.0412252562359
441,78,362.42368935042884
442,90,460.14977311059147
443,107,571.5477945667719
444,86,368.35500535921943
445,77,384.42003456979944
446,69,338.5773402344456
447,117,530.2817458719384
448,115,547.9226421482293
449,63,317.70481064745735
450,87,450.6891177601428
451,110,522.252495693357
452,80,395.6377616618781
453,85,403.4505791262555
454,69,357.7396694523014
455,75,377.8958066521121
456,46,223.0628727292553
457,65,316.90601047372314
458,64,308.1368948362007
459,33,145.10029260327258
460,78,370.90615296156943
461,62,299.42627270020694
462,88,405.695886966291
463,75,378.60605615487714
464,54,250.1935500705418
465,52,254.37657068831766
466,68,316.03747708978557
467,59,289.91746482475753
468,77,362.76791934267436
469,68,322.88537420470095
470,98,455.2170324716891
471,70,347.48570689554265
472,82,368.26082466342166
473,59,294.7042399186448
474,44,230.62808994461963
475,97,497.95090209419595
476,57,296.7846633252472
477,54,270.76533805110466
478,62,320.1495660216349
479,68,348.3352229647658
480,57,296.82762282674514
481,77,361.1943367644659
482,61,316.1735216961733
483,66,339.2811157246421
484,77,404.7239412168582
485,64,329.23089739581565
486,83,416.7432088592559
487,74,391.0752810183453
488,70,341.04882098319433
489,72,365.57821378806005
490,64,315.5266815369636
491,71,356.2640525037771
492,57,285.9499061479536
493,77,400.4383398749643
494,64,308.0517553893691
495,45,201.22007364261316
496,90,455.3038122139082
497,65,321.94257037912394
498,66,329.34677151831255
499,62,301.3302032738259
500,58,272.99453908013055
501,60,291.48308766974617
502,82,402.69986803491514
503,93,454.1591833293497
504,81,381.8052541126135
505,82,409.1971330097176
506,103,477.06130751650926
507,73,376.41366541453147
508,58,278.8280709202744
509,77,367.340735910547
510,74,363.3282749493236
511,84,399.70828479820705
512,101,511.3436029576164
513,79,345.2134048020845
514,94,474.1277868665149
515,83,396.8993765898711
516,69,333.262675110388
517,80,346.7629316828414
518,90,440.15551816134086
519,105,530.0344275548725
520,53,253.70048706284274
521,56,275.1581388879655
522,70,332.4615091578444
523,134,611.1529734025931
524,79,387.86014311914323
525,117,577.1596162939265
526,123,600.3312873089808
527,106,508.39123221445624
528,80,341.98185724928965
529,82,350.28759979996653
530,92,443.9814444451612
531,82,358.92163113413966
532,71,325.5753042735419
533,40,171.18285541923154
534,105,505.61277236167444
535,54,231.31750123841297
536,79,361.18741084343924
537,97,438.69002915992684
538,111,480.50931433180455
539,82,395.60509750089346
540,71,328.272952334106
541,102,441.44776887328084
542,86,427.6683088568241
543,92,480.5072525495768
544,66,284.83501719890836
545,86,360.0161677384115
546,71,299.6463173125018
547,98,426.6750149061697
548,61,309.5904351272518
549,115,515.4419144081006
550,94,438.08066577714146
551,56,283.87929862197285
552,56,219.39914911185812
553,79,353.1360641564647
554,73,347.28444322979163
555,94,398.11874047998333
556,80,350.24704636534057
557,97,431.7600977031475
558,83,409.8864647643356
559,76,349.8777793322837
560,103,518.2030411826859
561,76,331.9279186567755
562,82,366.8832280281293
563,74,362.7629729471901
564,97,461.1619204961954
565,102,495.89284795581466
566,112,529.9175809158528
567,75,318.95046374249046
568,86,366.06380993334045
569,82,371.8245459036348
570,96,459.69032571410435
571,73,315.66528208678073
