episode,length,return
1,28,129.9902821834783
2,17,77.87571871833175
3,29,135.89552829309324
4,20,91.25324208990062
5,39,190.56478906021042
6,46,222.02305878740862
7,36,163.01998906368252
8,21,84.3292379630121
9,18,73.89324010099247
10,18,75.1329303376988
11,20,78.23558886034242
12,21,82.96844633560244
13,20,77.11491712056431
14,17,70.56166340148047
15,22,91.20328239025044
16,29,111.1761437124263
17,34,135.74086468813223
18,34,135.67700085416334
19,37,146.79291363701654
20,38,151.81380251935988
21,31,123.64506551029552
22,35,135.2260421622022
23,29,112.63573646659054
24,31,119.92829747981791
25,28,113.37701383481034
26,28,107.83762364695409
27,32,128.0038443185437
28,29,116.56587425055432
29,31,120.15730067318458
30,29,120.48915590600532
31,28,112.93701182493781
32,27,107.90342810301809
33,30,115.77149636672635
34,30,113.79152224708295
35,33,138.23821745159688
36,21,94.14174803728572
37,20,89.01774588616682
38,23,99.69649236112711
39,20,89.5811177121842
40,23,97.19174486338639
41,26,117.28575163922352
42,23,102.7564615748457
43,22,95.10478622108766
44,23,103.82368843613132
45,61,227.57076471540674
46,22,96.35515108850228
47,24,109.9716801908382
48,21,96.24979765324134
49,18,75.65011999824499
50,18,79.09309681477824
51,18,79.61060565234526
52,21,90.27467563459489
53,36,153.89421942948707
54,30,126.71548144334781
55,63,300.92272324067625
56,57,252.76866383304818
57,62,306.9217890315117
58,30,129.59128226537922
59,22,95.11734886493988
60,26,112.5237485580225
61,24,104.20703323676155
62,22,94.4981181886793
63,21,89.34570620105684
64,23,100.15862032546298
65,22,92.36948322108404
66,23,94.84650230848125
67,22,92.21611157645684
68,23,99.04632594540436
69,23,95.52515420542815
70,23,96.16687188272232
71,23,95.17885553951984
72,24,105.71818276357692
73,33,151.52302790409635
74,25,109.9820878936203
75,25,111.00361877395504
76,25,108.08503260164876
77,35,159.9237448797692
78,31,131.2476612503836
79,73,309.68427766864374
80,50,233.20251752062774
81,42,188.4289576489147
82,43,189.34840183838074
83,40,168.37354268261177
84,62,279.944428972241
85,55,246.34271644790763
86,58,292.28275904439556
87,47,246.70790103271992
88,50,262.49397613434786
89,51,263.45434506699024
90,53,274.89847633450375
91,47,247.49668316424473
92,58,298.94857206924166
93,53,254.25982248608128
94,58,283.3888439164259
95,55,260.2071990086101
96,55,259.99564554843823
97,46,220.49012167623417
98,44,214.27309708768033
99,43,203.1991529714921
100,46,224.4168122132973
101,54,253.47975629716663
102,54,259.4695513808378
103,44,211.30914924834653
104,51,249.80891145741234
105,49,237.52350150826007
106,44,207.9993759016503
107,49,241.044445262757
108,42,200.12643932800242
109,42,199.82185751067465
110,44,210.8583713303873
111,45,212.58589229425925
112,44,209.32882272136993
113,50,244.81362052222013
114,46,197.52468999252724
115,45,191.95807968291288
116,19,78.79728600104919
117,20,81.91724025978584
118,16,68.44334344153314
119,17,62.935026531549575
120,17,67.83205202624677
121,17,63.688552333222816
122,17,73.93320404421986
123,17,73.4146096786119
124,17,73.36727635959548
125,19,71.98777049743599
126,18,67.5096733781588
127,17,68.559758766987
128,18,68.85364267677535
129,19,72.5155245393152
130,17,73.85418911857448
131,19,70.63050289312257
132,16,67.78201058758094
133,16,68.6892107638535
134,17,67.4217834348753
135,17,66.00438812782407
136,17,65.58895528087906
137,17,66.80262689134854
138,17,69.46619136211763
139,16,63.53117712035103
140,17,66.62802021622547
141,16,68.5435894615572
142,22,87.43720932576338
143,22,91.20263907088966
144,23,93.1458708388414
145,27,115.73708434169828
146,26,104.78206865090189
147,30,126.67535695344293
148,27,113.85946885366074
149,27,112.7726002469949
150,32,144.44691622012766
151,30,128.24672140239701
152,28,116.29717311514487
153,55,237.93228519824964
154,59,259.251948999592
155,43,206.81695643785753
156,51,240.6839271838576
157,50,236.2714252289414
158,44,215.91514799653152
159,48,213.1309627126549
160,62,273.3320706114344
161,51,242.92840617542973
162,50,233.94696620356012
163,52,243.49867011335147
164,58,265.2944795499009
165,63,297.68976669881937
166,55,254.64870227094954
167,50,230.23217872007731
168,61,285.6614680591014
169,53,244.62776851549103
170,51,237.47847765869884
171,56,260.20594974231363
172,56,255.33809336194693
173,52,237.73951523963
174,55,254.49033635861173
175,59,267.31271639892634
176,54,244.03857127787938
177,56,260.8694621584496
178,55,260.1802418491858
179,58,279.99084670671266
180,62,298.8524478906812
181,60,283.29439849395294
182,49,237.3248494260006
183,60,282.134745990356
184,63,296.9994048079391
185,63,295.13183277412594
186,62,288.46012192522625
187,66,315.1168177807798
188,63,290.7688119445119
189,63,283.63690750682326
190,62,289.3506454943794
191,68,312.12249132907806
192,66,308.8949905143527
193,64,300.33954719319007
194,60,275.7127534405898
195,53,248.41676968095774
196,49,232.37171942661647
197,60,285.09221507832694
198,65,310.2353081811499
199,51,236.38704110332776
200,46,215.76503914437086
201,74,306.9524200655763
202,45,215.52092234549468
203,43,196.5631490553263
204,78,323.6450963911929
205,43,202.59783106612537
206,71,285.46892610732164
207,64,287.0791701650091
208,42,194.47376861935675
209,72,278.5253216398483
210,83,367.83806502413387
211,61,239.3411378821156
212,69,290.33782807874695
213,61,231.16163792468797
214,69,285.9355189584026
215,82,355.9146575207241
216,60,234.11728613658352
217,66,263.534095336944
218,95,435.6812873137523
219,63,246.47076500707456
220,66,260.5962212016229
221,75,325.9476565623502
222,85,367.6100584721165
223,69,292.8221264894777
224,59,226.41581629594828
225,58,228.5389380880924
226,45,177.44656724565917
227,54,211.41889894362018
228,67,271.9868559022268
229,61,234.17339182306767
230,60,231.6493466080006
231,64,254.91031288099117
232,59,219.07323513742432
233,61,246.24943999659445
234,57,224.23741271623322
235,49,182.33559067024476
236,41,191.22551233810847
237,40,180.8385153012534
238,39,184.69333294421986
239,50,246.3187194844902
240,49,240.97033589679316
241,52,263.6458010142161
242,50,250.93645993668935
243,52,255.81167008399484
244,63,305.1057505479757
245,60,296.0333045268377
246,60,294.33181285185464
247,63,305.92962880861654
248,63,305.426027454212
249,66,324.97038541294245
250,64,314.94175604628356
251,65,308.39815013831577
252,61,303.31209760038365
253,72,343.72121289142603
254,70,336.8620479051119
255,77,368.39489567745375
256,63,310.595851973327
257,63,301.1437453325246
258,64,298.78257038743635
259,56,273.41516148968213
260,56,275.44785670335045
261,59,281.58305873805637
262,55,268.72436536161655
263,63,304.475625055712
264,82,397.9600852266362
265,68,304.3685212498248
266,72,304.50574438822696
267,74,354.73751937566874
268,95,455.3607068665707
269,65,312.00033246960953
270,51,234.58357195246325
271,51,233.85468716320017
272,49,225.82734106304653
273,53,248.10012979749533
274,51,235.6445810232303
275,50,222.60655564264025
276,50,231.83287538402573
277,48,208.91972443044244
278,45,199.8962673676791
279,45,201.5110840994603
280,49,225.85508035462902
281,47,218.43692956765145
282,48,218.20041373765727
283,48,219.7415603803528
284,56,264.74479934333397
285,55,259.8033644558273
286,53,245.6869419114034
287,60,284.5027989270992
288,73,355.9315171231678
289,60,295.2862944830376
290,60,285.88021123633257
291,76,360.64987399577683
292,57,270.5089826511968
293,60,289.7285791663759
294,54,259.7219421056025
295,57,271.03939740897624
296,55,277.8820658647939
297,52,256.6953398124037
298,50,243.69110058671052
299,69,359.54287882998545
300,54,275.3807645229396
301,53,260.56419634684136
302,55,268.18796599549
303,61,311.9131716533031
304,59,300.6958386778472
305,59,300.7999318803473
306,53,270.33200050351815
307,55,282.8538436931608
308,51,261.24534553686175
309,54,255.10338618493665
310,68,352.0594794581736
311,53,257.0687553681062
312,52,254.28946834915087
313,63,325.35399666801
314,52,256.9787767812218
315,54,268.78529236777797
316,55,283.33392948429207
317,73,376.71233584672507
318,76,386.8546462099257
319,68,353.47457223312875
320,58,301.4185450865527
321,69,366.5086096538041
322,56,295.17639520133457
323,56,290.6757550265568
324,56,288.6007227723019
325,58,301.1255741126621
326,75,395.950486807911
327,67,342.759603310216
328,70,348.08961743037594
329,75,380.52987483786956
330,77,399.0382815192894
331,73,364.69974749214555
332,73,372.38615249150695
333,55,287.8095833867337
334,58,293.2517162664317
335,41,196.0789482493319
336,37,173.7568044058788
337,39,181.7857040230774
338,40,186.2426651219578
339,41,199.39498598841237
340,48,228.5483146250206
341,52,245.58459502561058
342,50,246.22897481538763
343,53,257.5597335112326
344,51,219.3147658358242
345,55,224.86751502436968
346,52,234.98187001902392
347,47,233.81076622625443
348,46,225.93105279671826
349,48,231.91599205198364
350,51,258.2356020001601
351,52,268.3431453603264
352,75,371.4167110068354
353,83,389.1438891399337
354,55,236.2848049853999
355,49,194.0341578248369
356,42,167.27108208051789
357,89,382.8155655515624
358,51,202.55183469750756
359,55,215.19718744984146
360,44,176.6342924259059
361,44,183.35444252464282
362,55,225.97207182320793
363,49,210.48114950484037
364,57,236.8963092336524
365,74,303.9261040994752
366,52,209.81523121297587
367,54,245.5782234281534
368,71,322.82221510492803
369,67,248.73310691404095
370,61,237.00975527603464
371,46,194.85156404001083
372,58,256.59896792039405
373,47,192.35664877553066
374,67,296.8167004266164
375,45,184.9609377759927
376,43,162.9235257932752
377,41,159.12505371393559
378,61,281.1642961198493
379,75,330.55148313285446
380,48,229.14265703680917
381,82,411.5635034564262
382,94,468.49474524321334
383,69,334.4886253381672
384,74,341.4892148405654
385,77,334.99938781961055
386,23,101.80891615851978
387,22,97.69099646735475
388,26,118.30004361621282
389,26,115.18743410409654
390,80,348.62637841679367
391,61,307.2195357989563
392,66,340.93009079275345
393,77,383.7759917963703
394,88,415.4514549268248
395,44,202.13020212461333
396,60,294.59195945786536
397,63,301.3416487964533
398,71,351.63718946937155
399,53,219.23272946254357
400,75,292.43217827215983
401,58,222.23084674296612
402,78,354.2657177887917
403,61,301.4308650550196
404,79,353.5219984503957
405,75,388.1742715704101
406,38,175.6275091582658
407,70,329.1664013525335
408,111,556.8176536414542
409,40,177.00913708589496
410,41,190.56586558056156
411,45,210.8908806120978
412,52,241.59213414511146
413,55,238.10182228428417
414,87,398.37511546555737
415,74,340.9890864750289
416,50,236.7769801732049
417,64,309.79477916253273
418,59,295.5695448876546
419,51,246.64791520521982
420,62,308.90269373428623
421,64,298.78458462072234
422,74,347.728400912332
423,45,212.68773147165774
424,61,288.3105615750581
425,52,241.6808737394243
426,44,207.188884500999
427,67,314.43503210538756
428,62,291.3534022470041
429,45,205.70504384886925
430,55,261.7441791698367
431,56,276.86185793880435
432,58,279.93852543162484
433,58,302.1369101374247
434,67,338.4787753459893
435,62,264.8774079639801
436,64,329.5793123889253
437,58,296.8713497198852
438,48,250.40889623424712
439,62,323.75153440163496
440,54,283.99180657287116
441,49,255.22558528849925
442,55,284.02316037464743
443,52,268.3885790272027
444,61,322.49321106486894
445,52,265.47828747556355
446,57,295.5753372934327
447,52,275.8545596020672
448,63,337.4236143412216
449,71,379.3701860920717
450,59,294.8061036253839
451,58,263.1726594012131
452,61,246.77513748901
453,63,298.1147358011152
454,55,251.2023629107511
455,78,336.31438518307795
456,55,228.07818280292528
457,73,314.11481834010493
458,86,395.49936906743847
459,58,231.74090845497108
460,56,253.415860400735
461,70,295.3742615603183
462,82,394.8908830603199
463,47,191.01472668224048
464,87,375.68159349812316
465,98,494.6369598724163
466,82,332.85217051171014
467,67,278.7110426350314
468,82,426.4026803564348
469,56,239.92553018510426
470,69,319.6424301272868
471,106,496.15121201046986
472,74,382.1829269083967
473,102,480.3925600251585
474,92,474.6900927669741
475,69,356.03072085390784
476,54,261.17537992333706
477,53,253.17942189503776
478,48,229.144597185209
479,57,274.22793086293956
480,56,267.6337781168672
481,62,296.7178074099431
482,60,293.9345998949651
483,69,347.1842548117739
484,63,313.22782782068504
485,59,283.08511670759697
486,64,317.82692307337754
487,75,376.9426202204469
488,69,343.9711524822008
489,69,344.23960202682406
490,83,419.2425056476777
491,71,354.2685339553239
492,65,312.4246182523277
493,62,298.00928368210276
494,59,283.74098081500995
495,58,276.27424680070527
496,54,259.12309326947275
497,57,268.40236000312024
498,63,305.42246276582955
499,60,287.4736396288301
500,55,260.9426662183229
501,53,251.09856207546102
502,53,249.4721716355683
503,58,275.0893531258681
504,74,358.3176811800765
505,69,334.6620497682136
506,55,260.1442429789292
507,60,280.5569135098927
508,54,254.81204523081433
509,51,239.5051390406572
510,65,307.59234991158456
511,56,258.922312969674
512,51,237.46758227286534
513,56,259.38111866502487
514,57,268.7573878254085
515,55,257.4445835288883
516,56,265.3612297088661
517,55,256.89196275372836
518,68,329.88267475018864
519,76,364.5211969750678
520,64,307.1926167657173
521,54,255.8823567169837
522,62,291.4225163676846
523,79,364.865417928017
524,62,309.4742861932011
525,73,357.01593560921265
526,76,362.5996573271518
527,68,327.76551813315365
528,78,371.88920671790163
529,57,268.2567727267911
530,73,339.67858159942244
531,72,357.46953789644635
532,67,330.17500424895087
533,64,305.5432549378576
534,76,364.70414146077263
535,69,330.211403790025
536,65,312.2925538393977
537,79,377.08369704738925
538,72,322.58533995434266
539,65,286.7411721837178
540,61,294.3359975953211
541,66,306.0854341509118
542,68,262.2310252163834
543,67,318.20831583722554
544,77,383.38781865187264
545,92,468.81455467418107
546,81,417.82961526400044
547,52,253.71062681621876
548,56,248.68309430190197
549,54,261.4258060253171
550,65,303.84348406671927
551,48,234.52437498644002
552,83,383.89840828018487
553,45,219.04565917004376
554,78,367.85383053041875
555,54,273.61280379882
556,59,304.54420891507266
557,56,284.8409886958309
558,50,262.174329977863
559,72,345.28510056278606
560,55,281.8846808755718
561,75,380.6220851403452
562,82,365.9476117486784
563,64,315.89872573534296
564,58,241.05558138427955
565,60,244.9584457548822
566,92,457.1372819590743
567,101,447.2000106261032
568,65,315.473560334312
569,91,401.4237797617893
570,89,402.44112447847266
571,94,466.9187046189398
572,79,345.3586648598319
573,79,330.67324672395205
574,66,304.93603545266245
575,94,393.7953198469428
576,77,365.0589030768061
577,65,308.35837776638647
578,70,330.4058136448541
579,110,516.7296742923129
580,58,259.59308002825424
581,67,292.75328102128384
582,59,233.86228392839854
583,74,316.668449591073
584,70,335.24392502517827
585,68,318.4677356031259
586,76,364.9431252811772
587,74,352.07296901590087
588,82,375.84095861045347
589,70,337.7994836619097
590,68,316.7070715038633
591,76,368.57600312834677
592,81,382.5395808920059
593,53,243.12843083598352
594,57,270.2353102704647
595,81,392.13369663215786
596,51,250.13840964634363
597,50,239.84095402756003
